year_quarter_code,service_code,major_category_code,major_category_code_name,middle_category_code,middle_category_code_name,service_name,store_count,franchise_store_count
20214,CS300007,C03,도소매업,C0301,생활소매,육류판매,6741,24
20214,CS300012,C03,도소매업,C0303,잡화소매,한복점,533,0
20214,CS300028,C03,도소매업,C0303,잡화소매,화초,5019,6
20214,CS300029,C03,도소매업,C0303,잡화소매,애완동물,1899,42
20214,CS300030,C03,도소매업,C0303,잡화소매,중고가구,148,3
20214,CS300034,C03,도소매업,C0303,잡화소매,악기,818,1
20214,CS300039,C03,도소매업,C0302,전자소매,모터사이클및부품,663,2
20214,CS100006,C01,외식업,C0101,음식(식사),패스트푸드점,3588,2733
20214,CS200001,C02,서비스업,C0201,학원,일반교습학원,15058,1378
20214,CS200017,C02,서비스업,C0203,여가/미용,골프연습장,1550,85
20214,CS200021,C02,서비스업,C0203,여가/미용,기타오락장,1140,38
20214,CS200026,C02,서비스업,C0204,기타 서비스,자동차미용,1533,37
20214,CS200028,C02,서비스업,C0203,여가/미용,미용실,17289,1214
20214,CS200029,C02,서비스업,C0203,여가/미용,네일숍,4060,74
20214,CS200030,C02,서비스업,C0203,여가/미용,피부관리실,5544,170
20214,CS200033,C02,서비스업,C0204,기타 서비스,부동산중개업,36475,10
20214,CS200038,C02,서비스업,C0204,기타 서비스,독서실,2399,354
20214,CS200047,C02,서비스업,C0204,기타 서비스,가정용품임대,699,2
20214,CS300009,C03,도소매업,C0301,생활소매,청과상,7279,26
20214,CS300011,C03,도소매업,C0303,잡화소매,일반의류,41842,131
20214,CS300013,C03,도소매업,C0303,잡화소매,유아의류,6105,14
20214,CS300018,C03,도소매업,C0303,잡화소매,의약품,8466,517
20214,CS300022,C03,도소매업,C0303,잡화소매,화장품,16579,1181
20214,CS300033,C03,도소매업,C0302,전자소매,철물점,2990,11
20214,CS100003,C01,외식업,C0101,음식(식사),일식음식점,6195,716
20214,CS100005,C01,외식업,C0102,제과/커피,제과점,3988,1913
20214,CS200003,C02,서비스업,C0201,학원,예술학원,7416,309
20214,CS200008,C02,서비스업,C0202,의원,한의원,3761,0
20214,CS200022,C02,서비스업,C0204,기타 서비스,복권방,696,1
20214,CS300016,C03,도소매업,C0303,잡화소매,안경,1967,516
20214,CS300019,C03,도소매업,C0303,잡화소매,의료기기,2550,15
20214,CS300035,C03,도소매업,C0303,잡화소매,인테리어,5146,11
20214,CS300038,C03,도소매업,C0302,전자소매,자동차부품,3322,27
20214,CS300043,C03,도소매업,C0302,전자소매,전자상거래업,72442,164
20214,CS100001,C01,외식업,C0101,음식(식사),한식음식점,57128,5902
20214,CS100004,C01,외식업,C0101,음식(식사),양식음식점,8142,725
20214,CS200006,C02,서비스업,C0202,의원,일반의원,9375,40
20214,CS200023,C02,서비스업,C0204,기타 서비스,통신기기수리,611,2
20214,CS200027,C02,서비스업,C0204,기타 서비스,모터사이클수리,664,1
20214,CS200036,C02,서비스업,C0204,기타 서비스,고시원,530,2
20214,CS200041,C02,서비스업,C0204,기타 서비스,사진관,5150,11
20214,CS200043,C02,서비스업,C0204,기타 서비스,건축물청소,3735,67
20214,CS300010,C03,도소매업,C0301,생활소매,반찬가게,8945,182
20214,CS300032,C03,도소매업,C0302,전자소매,가전제품,4014,8
20214,CS300037,C03,도소매업,C0303,잡화소매,중고차판매,771,5
20214,CS300041,C03,도소매업,C0303,잡화소매,예술품,1860,3
20214,CS100010,C01,외식업,C0102,제과/커피,커피-음료,15194,5809
20214,CS200013,C02,서비스업,C0204,기타 서비스,기타법무서비스,1664,0
20214,CS200016,C02,서비스업,C0203,여가/미용,당구장,3795,52
20214,CS200018,C02,서비스업,C0203,여가/미용,볼링장,143,0
20214,CS200035,C02,서비스업,C0204,기타 서비스,게스트하우스,1003,17
20214,CS200044,C02,서비스업,C0204,기타 서비스,여행사,5882,8
20214,CS300005,C03,도소매업,C0301,생활소매,주류도매,942,3
20214,CS300021,C03,도소매업,C0303,잡화소매,문구,3939,412
20214,CS300023,C03,도소매업,C0303,잡화소매,미용재료,1805,5
20214,CS300025,C03,도소매업,C0302,전자소매,자전거 및 기타운송장비,825,0
20214,CS300040,C03,도소매업,C0303,잡화소매,재생용품 판매점,1207,0
20214,CS300042,C03,도소매업,C0303,잡화소매,주유소,999,1
20214,CS200002,C02,서비스업,C0201,학원,외국어학원,3314,255
20214,CS200010,C02,서비스업,C0204,기타 서비스,변호사사무소,3903,1
20214,CS200019,C02,서비스업,C0203,여가/미용,PC방,1329,85
20214,CS200024,C02,서비스업,C0203,여가/미용,스포츠클럽,2603,137
20214,CS300004,C03,도소매업,C0302,전자소매,핸드폰,5398,49
20214,CS300006,C03,도소매업,C0301,생활소매,미곡판매,3083,5
20214,CS300008,C03,도소매업,C0301,생활소매,수산물판매,5120,5
20214,CS300026,C03,도소매업,C0303,잡화소매,완구,1003,14
20214,CS300031,C03,도소매업,C0303,잡화소매,가구,3464,3
