year_code,quarter_code,commercial_district_code,commercial_district_name,monthly_sales_now,monthly_sales_previous
2022,4,3110775,대동초등학교,1741052395.0,1465585351.0
2022,4,3110776,도신초등학교,9178853221.0,7450222445.0
2022,4,3110777,구로세무서,247656485.0,251970972.0
2022,4,3110778,구로디지털단지역 4번,7350781009.0,6098415067.0
2022,4,3110780,신길대성유니드아파트,4481788629.0,4436354266.0
2022,4,3110781,대림한신아파트,1502419942.0,1492898154.0
2022,4,3110782,영등포시장역 4번,794733883.0,369416452.0
2022,4,3110783,영등포시장역 1번,3623839412.0,3164001706.0
2022,4,3110784,신대림초등학교,73283772.0,68991608.0
2022,4,3110785,영등포푸르지오아파트,2379276660.0,2584716944.0
2022,4,3110786,당산역 8번,247285187.0,237899605.0
2022,4,3110787,신길3동주민센터,5795430509.0,4764524097.0
2022,4,3110788,영등포시장역 3번,19415221436.0,19477738414.0
2022,4,3110789,대림성모병원,13366753417.0,12720633108.0
2022,4,3110790,대림1동주민센터,3823111440.0,3269359090.0
2022,4,3110791,신풍역 3번,597904639.0,457027046.0
2022,4,3110792,영등포역 2번,5274048367.0,4756284764.0
2022,4,3110794,영동초등학교,1563417377.0,1344426751.0
2022,4,3110795,도림초등학교,72403001.0,95889876.0
2022,4,3110796,한림대학교한강성심병원,1943588710.0,803766395.0
2022,4,3110798,신풍역 2번,366547436.0,314315672.0
2022,4,3110799,영등포본동주민센터,101180148.0,76632825.0
2022,4,3110800,영등포동성당,539956258.0,484413008.0
2022,4,3110802,신길동홍어거리,639022046.0,569589669.0
2022,4,3110803,신길2동우편취급국,2236853843.0,2211863816.0
2022,4,3110804,신풍역 1번,4085209600.0,3891398799.0
2022,4,3110805,신길새마을금고신길4동지점,83566015.0,57613166.0
2022,4,3110807,신길역 3번,1838193523.0,1799246271.0
2022,4,3110809,장훈고등학교,2061063797.0,1892557610.0
2022,4,3110810,영신초등학교,12092265895.0,9995069167.0
2022,4,3110811,보라매역 4번,2067422254.0,1736066419.0
2022,4,3110812,신길6동주민센터,6442171833.0,5981607728.0
2022,4,3110813,보라매역 6번,2146079494.0,3830460549.0
2022,4,3110814,서울지방병무청,4317276661.0,4634524131.0
2022,4,3110815,공군호텔,8956655183.0,7724127643.0
2022,4,3110816,대방역 6번,797771278.0,867027075.0
2022,4,3110817,대방역 4번,615880021.0,534887098.0
2022,4,3110818,신대방역 3번,199009014.0,116349960.0
2022,4,3110819,신대방역 4번,7383395730.0,6482163557.0
2022,4,3110820,성남고등학교,4470716114.0,3323748160.0
2022,4,3110821,보라매역 2번,1957733917.0,1808718137.0
2022,4,3110822,신대방삼거리역 4번(대림초등학교),35765628.0,320487585.0
2022,4,3110823,신대방삼거리역 3번,761862887.0,767873181.0
2022,4,3110824,대방역 3번,1848283315.0,1495066935.0
2022,4,3110825,신대방삼거리역 1번,903580842.0,807571309.0
2022,4,3110826,장승배기역 4번,6720098190.0,5677564875.0
2022,4,3110827,NH농협은행 상도동지점,3838616258.0,3004466867.0
2022,4,3110828,노량진역 6번,2983256361.0,3124734709.0
2022,4,3110829,장승배기역 5번,45035973.0,47305713.0
2022,4,3110830,상도초등학교,301057150.0,326525741.0
2022,4,3110831,상도4동주민센터,1405621552.0,1183367734.0
2022,4,3110832,노량진초등학교,1654784730.0,1503101599.0
2022,4,3110833,상도역 2번,1113141069.0,553577198.0
2022,4,3110835,상도역 1번,480116310.0,530673916.0
2022,4,3110836,상도역 5번,18637682076.0,22101646851.0
2022,4,3110837,숭실대입구역 1번,10953454528.0,6239994440.0
2022,4,3110838,상도1동주민센터앞,1379372089.0,1186141998.0
2022,4,3110839,숭실대입구역 4번,5805437971.0,3853850670.0
2022,4,3110840,중앙대학교,8233922530.0,6444627326.0
2022,4,3110841,중대부중,18609834.0,13066217.0
2022,4,3110842,흑리단길,6428687608.0,5775924291.0
2022,4,3110843,사당5동주민센터,754091452.0,502144725.0
2022,4,3110845,사당종합체육관,121695516.0,164298947.0
2022,4,3110846,남성역 1번,9809017661.0,9157508702.0
2022,4,3110848,양지어린이공원,2289030432.0,2188826973.0
2022,4,3110849,이수역 10번,2433924477.0,1071654943.0
