year_code,quarter_code,commercial_district_code,commercial_district_name,monthly_average_income_amount,expenditure_total_amount
2023,1,3110429,공릉동 국수거리,2423624.0,3458154690.0
2023,1,3110431,상계역,2493812.0,814896522.0
2023,1,3110432,대진고등학교,2597976.0,1337588824.0
2023,1,3110433,공릉역 2번,2293085.0,1694131123.0
2023,1,3110434,태릉입구역 4번,2388077.0,1025442362.0
2023,1,3110435,서울과학기술대,2618149.0,205090696.0
2023,1,3110436,상계제일중학교,3256494.0,568646574.0
2023,1,3110437,당고개역 2번,2341393.0,928646355.0
2023,1,3110438,경춘선숲길 우측,2485277.0,1682589269.0
2023,1,3110439,당고개역 5번,2144653.0,2303954671.0
2023,1,3110440,상계3동4동주민센터,2092587.0,1279028854.0
2023,1,3110441,영신여고,2527543.0,1248087813.0
2023,1,3110442,화랑대철도공원,3138785.0,127498947.0
2023,1,3110443,수색역 1번,1885936.0,231287258.0
2023,1,3110444,수색성당,2894044.0,290237508.0
2023,1,3110446,내를건너서숲으로도서관,2615663.0,785822905.0
2023,1,3110447,구산초등학교,2362179.0,904591289.0
2023,1,3110448,상신초등학교입구,2428645.0,1175013262.0
2023,1,3110449,증산역 3번,2700092.0,2688800043.0
2023,1,3110450,시립서북병원,2416591.0,5160830693.0
2023,1,3110451,증산역 4번,2615621.0,2726938185.0
2023,1,3110452,새절역 3번,2485602.0,1519935157.0
2023,1,3110453,신사1동주민센터,2395705.0,4577454908.0
2023,1,3110454,선정중학교,2355343.0,3348535041.0
2023,1,3110455,역촌노인복지관,2446703.0,4202088926.0
2023,1,3110456,구산보건지소,2433030.0,4435130095.0
2023,1,3110457,예일여고,2517789.0,2371910766.0
2023,1,3110458,선일여고,2427651.0,3169589936.0
2023,1,3110459,응암역 2번,2575353.0,2443344037.0
2023,1,3110460,구산역 4번,2496845.0,2958982327.0
2023,1,3110461,새절역 2번,2369514.0,647299819.0
2023,1,3110462,갈현건영아파트,2306105.0,3343641185.0
2023,1,3110463,응암3동주민센터,2434387.0,782559944.0
2023,1,3110464,연신내역 5번,2524403.0,2271229117.0
2023,1,3110465,연신내역 7번,2559177.0,1263520124.0
2023,1,3110466,구산역 2번,2418977.0,2330242228.0
2023,1,3110467,은평요양병원,2605069.0,472580441.0
2023,1,3110468,응암역 3번,2514771.0,6121250119.0
2023,1,3110469,응암정보도서관,2227306.0,2496656981.0
2023,1,3110470,신진과학기술고등학교,2665223.0,950451910.0
2023,1,3110471,응암동우체국,2373517.0,1729040209.0
2023,1,3110472,연신내역 4번,2485883.0,3148140436.0
2023,1,3110473,구산역 1번,2472122.0,5397451982.0
2023,1,3110474,세명컴퓨터고등학교,2300399.0,2187696581.0
2023,1,3110475,백련산해모로아파트,2425117.0,1609430898.0
2023,1,3110476,역촌역 2번,2429625.0,630550309.0
2023,1,3110477,은평세무서,2543845.0,1609917864.0
2023,1,3110478,응암1동주민센터,2481424.0,1308026182.0
2023,1,3110479,연신내역 2번,2284327.0,1249512237.0
2023,1,3110480,연신내역 3번,2476132.0,1382951317.0
2023,1,3110481,불광역 7번,2632535.0,1693929455.0
2023,1,3110482,연신초등학교,2359263.0,597957977.0
